Time (UTCG),Semi-major Axis (km),Apogee Altitude (km),Period (sec),,,
40:00.0,6671.61967,304.337697,5423.228,13200,0.152777778,0.000418283
41:00.0,6672.018603,305.24309,5423.715,13260,0.153472222,0.000420184
42:00.0,6672.341218,305.992099,5424.108,13320,0.154166667,0.000422085
43:00.0,6672.58267,306.572727,5424.403,13380,0.154861111,0.000423987
44:00.0,6672.738814,306.974973,5424.593,13440,0.155555556,0.000425888
45:00.0,6672.807272,307.192746,5424.677,13500,0.15625,0.000427789
46:00.0,6672.787205,307.22335,5424.652,13560,0.156944444,0.00042969
47:00.0,6672.67798,307.064736,5424.519,13620,0.157638889,0.000431592
48:00.0,6672.478871,306.714819,5424.276,13680,0.158333333,0.000433493
49:00.0,6672.190361,306.17403,5423.924,13740,0.159027778,0.000435394
50:00.0,6671.815382,305.447862,5423.467,13800,0.159722222,0.000437296
51:00.0,6671.359432,304.547215,5422.911,13860,0.160416667,0.000439197
52:00.0,6670.830309,303.487996,5422.266,13920,0.161111111,0.000441098
53:00.0,6670.238377,302.291886,5421.544,13980,0.161805556,0.000442999
54:00.0,6669.596157,300.985815,5420.761,14040,0.1625,0.000444901
55:00.0,6668.917148,299.599996,5419.934,14100,0.163194444,0.000446802
56:00.0,6668.214597,298.166053,5419.077,14160,0.163888889,0.000448703
57:00.0,6667.501478,296.717822,5418.208,14220,0.164583333,0.000450605
58:00.0,6666.791173,295.293813,5417.342,14280,0.165277778,0.000452506
59:00.0,6666.097563,293.938416,5416.497,14340,0.165972222,0.000454407
00:00.0,6665.434457,292.701064,5415.688,14400,0.166666667,0.000456308
01:00.0,6664.815222,291.633432,5414.934,14460,0.167361111,0.00045821
02:00.0,6664.252452,290.781811,5414.248,14520,0.168055556,0.000460111
03:00.0,6663.756745,290.17334,5413.644,14580,0.16875,0.000462012
04:00.0,6663.33533,289.80558,5413.13,14640,0.169444444,0.000463914
05:00.0,6662.992795,289.651586,5412.713,14700,0.170138889,0.000465815
06:00.0,6662.734073,289.675573,5412.398,14760,0.170833333,0.000467716
07:00.0,6662.566203,289.843689,5412.193,14820,0.171527778,0.000469617
08:00.0,6662.495909,290.125314,5412.107,14880,0.172222222,0.000471519
09:00.0,6662.52514,290.491769,5412.143,14940,0.172916667,0.00047342
10:00.0,6662.64981,290.917854,5412.295,15000,0.173611111,0.000475321
11:00.0,6662.863274,291.3848,5412.555,15060,0.174305556,0.000477223
12:00.0,6663.160318,291.880428,5412.917,15120,0.175,0.000479124
13:00.0,6663.537149,292.395665,5413.376,15180,0.175694444,0.000481025
14:00.0,6663.988264,292.920809,5413.926,15240,0.176388889,0.000482926
15:00.0,6664.504571,293.444792,5414.555,15300,0.177083333,0.000484828
16:00.0,6665.07468,293.956819,5415.25,15360,0.177777778,0.000486729
17:00.0,6665.687002,294.447483,5415.996,15420,0.178472222,0.00048863
18:00.0,6666.330059,294.908073,5416.78,15480,0.179166667,0.000490532
19:00.0,6666.991506,295.329449,5417.586,15540,0.179861111,0.000492433
20:00.0,6667.657954,295.702088,5418.399,15600,0.180555556,0.000494334
21:00.0,6668.315984,296.01696,5419.201,15660,0.18125,0.000496235
22:00.0,6668.953044,296.265918,5419.977,15720,0.181944444,0.000498137
23:00.0,6669.55731,296.441178,5420.714,15780,0.182638889,0.000500038
24:00.0,6670.117006,296.534654,5421.396,15840,0.183333333,0.000501939
25:00.0,6670.620079,296.537883,5422.01,15900,0.184027778,0.000503841
26:00.0,6671.054659,296.442798,5422.54,15960,0.184722222,0.000505742
27:00.0,6671.410268,296.243214,5422.973,16020,0.185416667,0.000507643
28:00.0,6671.679166,295.936429,5423.301,16080,0.186111111,0.000509544
29:00.0,6671.856942,295.524623,5423.518,16140,0.186805556,0.000511446
30:00.0,6671.941393,295.017786,5423.621,16200,0.1875,0.000513347
31:00.0,6671.931455,294.459505,5423.609,16260,0.188194444,0.000515248
32:00.0,6671.827522,294.154047,5423.482,16320,0.188888889,0.00051715
33:00.0,6671.632545,294.40098,5423.244,16380,0.189583333,0.000519051
34:00.0,6671.351537,294.719937,5422.902,16440,0.190277778,0.000520952
35:00.0,6670.989034,294.983593,5422.46,16500,0.190972222,0.000522853
36:00.0,6670.547722,295.171398,5421.921,16560,0.191666667,0.000524755
37:00.0,6670.030943,295.276385,5421.291,16620,0.192361111,0.000526656
38:00.0,6669.446872,295.297834,5420.579,16680,0.193055556,0.000528557
39:00.0,6668.809264,295.24093,5419.802,16740,0.19375,0.000530459
40:00.0,6668.133504,295.113901,5418.978,16800,0.194444444,0.00053236
