Time (UTCG),Apogee Altitude (km),Earth_gravity (m/sec^2),Drag (m/sec^2),SRP (m/sec^2),SUN_Gravity (m/sec^2),Moon_Gravity (m/sec^2)
26:00.0,499.178462,8.436944,0.00001,0.000002,0,0.000001
27:00.0,499.628295,8.436717,0.000009,0.000002,0,0.000001
28:00.0,500.060135,8.436581,0.000009,0.000002,0,0.000001
29:00.0,500.466367,8.436531,0.000009,0.000002,0,0.000001
30:00.0,500.839433,8.436556,0.000009,0.000002,0,0.000001
31:00.0,501.171918,8.436645,0.000009,0.000002,0,0.000001
32:00.0,501.4567,8.436786,0.000009,0.000002,0,0.000001
33:00.0,501.686915,8.436971,0.000009,0.000002,0,0.000001
34:00.0,501.855806,8.43719,0.000009,0.000002,0,0.000001
35:00.0,501.956691,8.437429,0.000009,0.000002,0,0.000001
36:00.0,501.983014,8.437674,0.000009,0.000002,0,0.000001
37:00.0,501.928863,8.437908,0.00001,0.000002,0,0.000001
38:00.0,501.789206,8.438116,0.00001,0.000002,0,0.000001
39:00.0,501.560372,8.438284,0.00001,0.000002,0,0.000001
40:00.0,501.240348,8.438407,0.00001,0.000002,0,0.000001
41:00.0,500.828755,8.438483,0.00001,0.000002,0,0.000001
42:00.0,500.327032,8.438513,0.000011,0.000002,0,0.000001
43:00.0,499.743257,8.438495,0.000011,0.000002,0,0.000001
44:00.0,499.703231,8.438434,0.000011,0.000002,0,0.000001
45:00.0,500.223864,8.438338,0.000012,0.000002,0,0.000001
46:00.0,500.668258,8.43821,0.000013,0.000002,0,0.000001
47:00.0,501.028676,8.438044,0.000013,0.000002,0,0.000001
48:00.0,501.30286,8.437829,0.000014,0.000002,0,0.000001
49:00.0,501.490243,8.437559,0.000015,0.000002,0,0.000001
50:00.0,501.592769,8.43725,0.000016,0.000002,0,0.000001
51:00.0,501.614734,8.436925,0.000017,0.000002,0,0.000001
52:00.0,501.561525,8.436601,0.000018,0.000002,0,0.000001
53:00.0,501.438596,8.436283,0.000019,0.000002,0,0.000001
54:00.0,501.251679,8.435978,0.00002,0.000002,0,0.000001
55:00.0,501.007667,8.435708,0.000021,0.000002,0,0.000001
56:00.0,500.714854,8.435506,0.000022,0.000002,0,0.000001
57:00.0,500.382078,8.435399,0.000023,0.000002,0,0.000001
58:00.0,500.017588,8.435399,0.000024,0.000002,0,0.000001
59:00.0,499.628691,8.435506,0.000025,0.000002,0,0.000001
00:00.0,499.222322,8.43572,0.000026,0.000002,0,0.000001
01:00.0,498.805774,8.436051,0.000026,0.000002,0.000001,0.000001
02:00.0,498.386899,8.43651,0.000027,0.000002,0.000001,0.000001
03:00.0,497.973778,8.437102,0.000028,0.000002,0.000001,0.000001
04:00.0,497.574353,8.43782,0.000029,0.000002,0.000001,0.000001
05:00.0,497.196534,8.438649,0.00003,0.000002,0.000001,0.000001
06:00.0,496.849051,8.439572,0.00003,0.000002,0.000001,0.000001
07:00.0,496.543047,8.440584,0.000031,0.000002,0.000001,0.000001
08:00.0,496.293912,8.441699,0.000032,0.000002,0.000001,0.000001
09:00.0,496.122428,8.442933,0.000032,0.000002,0,0.000001
10:00.0,496.054407,8.444295,0.000033,0.000002,0,0.000001
11:00.0,496.118667,8.445774,0.000033,0.000002,0,0.000001
12:00.0,496.343627,8.447343,0.000034,0.000002,0,0.000001
13:00.0,496.752488,8.448977,0.000034,0.000002,0,0.000001
14:00.0,497.357176,8.450658,0.000035,0.000002,0,0.000001
15:00.0,498.153227,8.452372,0.000035,0.000002,0,0.000001
16:00.0,499.119459,8.454105,0.000035,0.000002,0,0.000001
17:00.0,500.223327,8.455843,0.000035,0.000002,0,0.000001
18:00.0,501.427711,8.457577,0.000035,0.000002,0,0.000001
19:00.0,502.694568,8.459295,0.000035,0.000002,0,0.000001
20:00.0,503.985659,8.460972,0.000035,0.000002,0,0.000001
21:00.0,505.263665,8.462575,0.000035,0.000002,0,0.000001
22:00.0,506.494824,8.464071,0.000035,0.000002,0,0.000001
23:00.0,507.650675,8.465441,0.000035,0.000002,0,0.000001
24:00.0,508.707055,8.466672,0.000034,0.000002,0,0.000001
25:00.0,509.642316,8.467746,0.000034,0.000002,0,0.000001
26:00.0,510.437859,8.468644,0.000033,0.000002,0,0.000001
27:00.0,511.080517,8.469358,0.000032,0.000002,0,0.000001
28:00.0,511.562961,8.4699,0.000032,0.000002,0,0.000001
29:00.0,511.880517,8.470282,0.000031,0.000002,0,0.000001
30:00.0,512.027791,8.470495,0.00003,0.000002,0,0.000001
31:00.0,511.999279,8.470522,0.000029,0.000002,0,0.000001
32:00.0,511.793211,8.47035,0.000028,0.000002,0,0.000001
33:00.0,511.413774,8.469989,0.000027,0.000002,0,0.000001
34:00.0,510.869199,8.469456,0.000026,0.000002,0,0.000001
35:00.0,510.168588,8.468758,0.000025,0.000002,0,0.000001
36:00.0,509.321703,8.467893,0.000024,0.000002,0,0.000001
37:00.0,508.342046,8.466863,0.000023,0.000002,0,0.000001
38:00.0,507.247681,8.465683,0.000022,0.000002,0,0.000001
39:00.0,506.060389,8.464376,0.00002,0.000002,0,0.000001
40:00.0,504.804129,8.462956,0.000019,0.000002,0,0.000001
41:00.0,503.505527,8.461435,0.000018,0.000002,0,0.000001
