Time (UTCG),Semi-major Axis (km),Apogee Altitude (km),Period (sec),,,
01:00.0,6767.063124,395.386257,5540.02,18060,0.209027778,0.000572287
02:00.0,6767.188527,395.189647,5540.174,18120,0.209722222,0.000574188
03:00.0,6767.395355,395.089319,5540.428,18180,0.210416667,0.000576089
04:00.0,6767.683907,395.116701,5540.782,18240,0.211111111,0.000577991
05:00.0,6768.050976,395.306686,5541.233,18300,0.211805556,0.000579892
06:00.0,6768.488775,395.688607,5541.771,18360,0.2125,0.000581793
07:00.0,6768.986991,396.277337,5542.383,18420,0.213194444,0.000583695
08:00.0,6769.535662,397.069776,5543.056,18480,0.213888889,0.000585596
09:00.0,6770.125756,398.046447,5543.781,18540,0.214583333,0.000587497
10:00.0,6770.747492,399.174559,5544.545,18600,0.215277778,0.000589398
11:00.0,6771.389211,400.412345,5545.333,18660,0.215972222,0.0005913
12:00.0,6772.038319,401.71576,5546.131,18720,0.216666667,0.000593201
13:00.0,6772.682712,403.044269,5546.922,18780,0.217361111,0.000595102
14:00.0,6773.31071,404.361798,5547.694,18840,0.218055556,0.000597004
15:00.0,6773.910134,405.634585,5548.43,18900,0.21875,0.000598905
16:00.0,6774.468457,406.830655,5549.116,18960,0.219444444,0.000600806
17:00.0,6774.973995,407.921569,5549.737,19020,0.220138889,0.000602707
18:00.0,6775.416414,408.88301,5550.281,19080,0.220833333,0.000604609
19:00.0,6775.786316,409.693574,5550.735,19140,0.221527778,0.00060651
20:00.0,6776.07576,410.335454,5551.091,19200,0.222222222,0.000608411
21:00.0,6776.28028,410.798261,5551.342,19260,0.222916667,0.000610313
22:00.0,6776.399755,411.080741,5551.489,19320,0.223611111,0.000612214
23:00.0,6776.435909,411.185735,5551.534,19380,0.224305556,0.000614115
24:00.0,6776.388599,411.112637,5551.476,19440,0.225,0.000616016
25:00.0,6776.255418,410.856453,5551.312,19500,0.225694444,0.000617918
26:00.0,6776.035329,410.415068,5551.041,19560,0.226388889,0.000619819
27:00.0,6775.731894,409.795772,5550.669,19620,0.227083333,0.00062172
28:00.0,6775.352252,409.013279,5550.202,19680,0.227777778,0.000623622
29:00.0,6774.90367,408.082943,5549.651,19740,0.228472222,0.000625523
30:00.0,6774.392344,407.018548,5549.023,19800,0.229166667,0.000627424
31:00.0,6773.825696,405.837251,5548.326,19860,0.229861111,0.000629325
32:00.0,6773.214332,404.5638,5547.575,19920,0.230555556,0.000631227
33:00.0,6772.570955,403.228687,5546.785,19980,0.23125,0.000633128
34:00.0,6771.90801,401.863964,5545.971,20040,0.231944444,0.000635029
35:00.0,6771.236995,400.502774,5545.146,20100,0.232638889,0.000636931
36:00.0,6770.569587,399.182522,5544.326,20160,0.233333333,0.000638832
37:00.0,6769.918236,397.946353,5543.526,20220,0.234027778,0.000640733
38:00.0,6769.295404,396.840451,5542.761,20280,0.234722222,0.000642634
39:00.0,6768.712891,395.90889,5542.046,20340,0.235416667,0.000644536
40:00.0,6768.182077,395.186482,5541.394,20400,0.236111111,0.000646437
41:00.0,6767.713872,394.689462,5540.819,20460,0.236805556,0.000648338
42:00.0,6767.317579,394.409806,5540.332,20520,0.2375,0.00065024
43:00.0,6767.000027,394.320335,5539.942,20580,0.238194444,0.000652141
44:00.0,6766.766333,394.386932,5539.655,20640,0.238888889,0.000654042
45:00.0,6766.62104,394.57761,5539.477,20700,0.239583333,0.000655943
46:00.0,6766.567469,394.864732,5539.411,20760,0.240277778,0.000657845
47:00.0,6766.605914,395.224382,5539.458,20820,0.240972222,0.000659746
48:00.0,6766.733616,395.636817,5539.615,20880,0.241666667,0.000661647
49:00.0,6766.947212,396.087408,5539.878,20940,0.242361111,0.000663549
50:00.0,6767.244501,396.565483,5540.243,21000,0.243055556,0.00066545
51:00.0,6767.622749,397.061052,5540.707,21060,0.24375,0.000667351
52:00.0,6768.075389,397.562466,5541.263,21120,0.244444444,0.000669252
53:00.0,6768.591319,398.057198,5541.897,21180,0.245138889,0.000671154
54:00.0,6769.157671,398.534227,5542.592,21240,0.245833333,0.000673055
55:00.0,6769.762572,398.984914,5543.335,21300,0.246527778,0.000674956
56:00.0,6770.395107,399.401669,5544.112,21360,0.247222222,0.000676858
57:00.0,6771.043878,399.776631,5544.909,21420,0.247916667,0.000678759
58:00.0,6771.697008,400.102064,5545.711,21480,0.248611111,0.00068066
59:00.0,6772.343508,400.371312,5546.506,21540,0.249305556,0.000682561
00:00.0,6772.973575,400.578438,5547.28,21600,0.25,0.000684463
01:00.0,6773.577167,400.716924,5548.021,21660,0.250694444,0.000686364
02:00.0,6774.143103,400.779493,5548.716,21720,0.251388889,0.000688265
03:00.0,6774.660202,400.759498,5549.352,21780,0.252083333,0.000690167
04:00.0,6775.118894,400.651955,5549.915,21840,0.252777778,0.000692068
05:00.0,6775.51111,400.452826,5550.397,21900,0.253472222,0.000693969
06:00.0,6775.828989,400.157827,5550.788,21960,0.254166667,0.00069587
07:00.0,6776.064894,399.763001,5551.078,22020,0.254861111,0.000697772
08:00.0,6776.212663,399.266342,5551.259,22080,0.255555556,0.000699673
09:00.0,6776.268801,398.669304,5551.328,22140,0.25625,0.000701574
10:00.0,6776.232113,398.231611,5551.283,22200,0.256944444,0.000703476
11:00.0,6776.103068,398.755634,5551.125,22260,0.257638889,0.000705377
